campaign_id,name,campaign_type,target_segment,category,channel,offer_type,discount_percentage,discount_code,free_shipping,start_date,end_date,budget,is_ab_test,kpi_conversion_uplift_target,kpi_revenue_uplift_target,kpi_engagement_target
CAMP018,MegaMart CNY Offer,seasonal,Budget Shoppers,,SMS,Free Shipping,,FREESHIPPING,True,2024-02-10 00:00:00,2024-02-17 00:00:00,42500,True,0.08,0.122,0.169
CAMP019,MegaMart CNY Offer,seasonal,Active Customers,,SMS,Discount on Cart,21.0,CNYSAVE21,False,2024-02-10 00:00:00,2024-02-17 00:00:00,12200,False,0.042,0.047,0.113
CAMP020,MegaMart CNY Deals,seasonal,High Spenders,,Email,Discount on Cart,9.0,CNYSAVE9,False,2024-02-10 00:00:00,2024-02-17 00:00:00,25000,True,0.081,0.109,0.197
CAMP021,MegaMart Christmas Electronics & Appliances Deals,seasonal,New Customers,Electronics & Appliances,Email,Discount on Category,6.0,XMASELEC6,False,2024-12-22 00:00:00,2024-12-28 00:00:00,16300,True,0.064,0.108,0.09
CAMP022,MegaMart Christmas Electronics & Appliances Deals,seasonal,Active Customers,Electronics & Appliances,Push Notifications,Discount on Category,29.0,XMASELEC29,False,2024-12-22 00:00:00,2024-12-28 00:00:00,35400,True,0.106,0.084,0.205
CAMP023,MegaMart Christmas Electronics & Appliances Deals,seasonal,Churn Risk Customers,Electronics & Appliances,Email,Discount on Category,21.0,XMASELEC21,False,2024-12-22 00:00:00,2024-12-28 00:00:00,40300,True,0.085,0.104,0.239
CAMP024,MegaMart Christmas Electronics & Appliances Deals,seasonal,High Spenders,Electronics & Appliances,Push Notifications,Discount on Category,27.0,XMASELEC27,False,2024-12-22 00:00:00,2024-12-28 00:00:00,20900,False,0.053,0.107,0.131
CAMP025,MegaMart Christmas Electronics & Appliances Deals,seasonal,Budget Shoppers,Electronics & Appliances,Email,Discount on Category,8.0,XMASELEC8,False,2024-12-22 00:00:00,2024-12-28 00:00:00,16700,True,0.039,0.069,0.133
CAMP026,MegaMart Christmas Bakery Sale,seasonal,New Customers,Bakery,Email,Discount on Category,7.0,XMASBAKE7,False,2024-12-22 00:00:00,2024-12-28 00:00:00,46900,False,0.119,0.12,0.356
CAMP027,MegaMart Christmas Bakery Sale,seasonal,Active Customers,Bakery,SMS,Discount on Category,21.0,XMASBAKE21,False,2024-12-22 00:00:00,2024-12-28 00:00:00,16100,True,0.04,0.077,0.126
CAMP028,MegaMart Christmas Bakery Sale,seasonal,Churn Risk Customers,Bakery,SMS,Discount on Category,23.0,XMASBAKE23,False,2024-12-22 00:00:00,2024-12-28 00:00:00,31500,True,0.057,0.121,0.177
CAMP029,MegaMart Christmas Bakery Sale,seasonal,High Spenders,Bakery,SMS,Discount on Category,18.0,XMASBAKE18,False,2024-12-22 00:00:00,2024-12-28 00:00:00,23700,True,0.058,0.098,0.184
CAMP030,MegaMart Christmas Bakery Sale,seasonal,Budget Shoppers,Bakery,Email,Discount on Category,8.0,XMASBAKE8,False,2024-12-22 00:00:00,2024-12-28 00:00:00,4500,True,0.027,0.041,0.078
CAMP031,"MegaMart Christmas Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,New Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",SMS,Discount on Category,9.0,XMASL&R9,False,2024-12-22 00:00:00,2024-12-28 00:00:00,28100,True,0.049,0.11,0.229
CAMP032,"MegaMart Christmas Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Active Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Email,Discount on Category,8.0,XMASL&R8,False,2024-12-22 00:00:00,2024-12-28 00:00:00,3800,True,0.028,0.042,0.058
CAMP033,"MegaMart Christmas Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Churn Risk Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,10.0,XMASL&R10,False,2024-12-22 00:00:00,2024-12-28 00:00:00,27100,True,0.068,0.08,0.159
CAMP034,"MegaMart Christmas Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,High Spenders,"Lifestyle & Recreation (Fitness, Toys, Travel)",SMS,Discount on Category,5.0,XMASL&R5,False,2024-12-22 00:00:00,2024-12-28 00:00:00,26100,True,0.052,0.138,0.162
CAMP035,"MegaMart Christmas Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Budget Shoppers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Email,Discount on Category,30.0,XMASL&R30,False,2024-12-22 00:00:00,2024-12-28 00:00:00,36900,True,0.101,0.139,0.159
CAMP036,MegaMart Christmas Beverages Sale,seasonal,New Customers,Beverages,Email,Discount on Category,28.0,XMASBEV28,False,2024-12-22 00:00:00,2024-12-28 00:00:00,21100,False,0.036,0.1,0.145
CAMP037,MegaMart Christmas Beverages Sale,seasonal,Active Customers,Beverages,Email,Discount on Category,6.0,XMASBEV6,False,2024-12-22 00:00:00,2024-12-28 00:00:00,33800,True,0.047,0.089,0.218
CAMP038,MegaMart Christmas Beverages Sale,seasonal,Churn Risk Customers,Beverages,Email,Discount on Category,17.0,XMASBEV17,False,2024-12-22 00:00:00,2024-12-28 00:00:00,8400,True,0.044,0.058,0.091
CAMP039,MegaMart Christmas Beverages Sale,seasonal,High Spenders,Beverages,SMS,Discount on Category,18.0,XMASBEV18,False,2024-12-22 00:00:00,2024-12-28 00:00:00,43600,True,0.107,0.165,0.341
CAMP040,MegaMart Christmas Beverages Sale,seasonal,Budget Shoppers,Beverages,Email,Discount on Category,15.0,XMASBEV15,False,2024-12-22 00:00:00,2024-12-28 00:00:00,16100,True,0.04,0.055,0.134
CAMP041,MegaMart Christmas Dairy & Eggs Sale,seasonal,New Customers,Dairy & Eggs,Push Notifications,Discount on Category,19.0,XMASDAIRY19,False,2024-12-22 00:00:00,2024-12-28 00:00:00,41200,True,0.143,0.235,0.147
CAMP042,MegaMart Christmas Dairy & Eggs Sale,seasonal,Active Customers,Dairy & Eggs,SMS,Discount on Category,9.0,XMASDAIRY9,False,2024-12-22 00:00:00,2024-12-28 00:00:00,23400,True,0.084,0.136,0.14
CAMP043,MegaMart Christmas Dairy & Eggs Sale,seasonal,Churn Risk Customers,Dairy & Eggs,SMS,Discount on Category,27.0,XMASDAIRY27,False,2024-12-22 00:00:00,2024-12-28 00:00:00,20300,True,0.062,0.13,0.157
CAMP044,MegaMart Christmas Dairy & Eggs Sale,seasonal,High Spenders,Dairy & Eggs,SMS,Discount on Category,14.0,XMASDAIRY14,False,2024-12-22 00:00:00,2024-12-28 00:00:00,44000,False,0.057,0.229,0.196
CAMP045,MegaMart Christmas Dairy & Eggs Sale,seasonal,Budget Shoppers,Dairy & Eggs,SMS,Discount on Category,22.0,XMASDAIRY22,False,2024-12-22 00:00:00,2024-12-28 00:00:00,10700,True,0.033,0.067,0.11
CAMP046,MegaMart Christmas Offer,seasonal,New Customers,,Push Notifications,Free Shipping,,FREESHIPPING,True,2024-12-22 00:00:00,2024-12-28 00:00:00,33600,True,0.08,0.185,0.259
CAMP047,MegaMart Christmas Offer,seasonal,Churn Risk Customers,,SMS,Free Shipping,,FREESHIPPING,True,2024-12-22 00:00:00,2024-12-28 00:00:00,3400,True,0.022,0.044,0.068
CAMP048,MegaMart Christmas Promotions,seasonal,Budget Shoppers,,SMS,Free Shipping,,FREESHIPPING,True,2024-12-22 00:00:00,2024-12-28 00:00:00,36700,False,0.104,0.149,0.144
CAMP049,MegaMart Christmas Deals,seasonal,Active Customers,,Push Notifications,Discount on Cart,22.0,XMASSAVE22,False,2024-12-22 00:00:00,2024-12-28 00:00:00,2900,True,0.028,0.04,0.058
CAMP050,MegaMart Christmas Offer,seasonal,High Spenders,,SMS,Discount on Cart,30.0,XMASSAVE30,False,2024-12-22 00:00:00,2024-12-28 00:00:00,3100,True,0.029,0.036,0.06
CAMP051,"MegaMart Black Friday Lifestyle & Recreation (Fitness, Toys, Travel) Deals",seasonal,New Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,30.0,BFL&R30,False,2024-11-26 00:00:00,2024-12-02 00:00:00,12100,True,0.053,0.043,0.119
CAMP052,"MegaMart Black Friday Lifestyle & Recreation (Fitness, Toys, Travel) Deals",seasonal,Active Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Email,Discount on Category,30.0,BFL&R30,False,2024-11-26 00:00:00,2024-12-02 00:00:00,44400,True,0.139,0.218,0.198
CAMP053,"MegaMart Black Friday Lifestyle & Recreation (Fitness, Toys, Travel) Deals",seasonal,Churn Risk Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,17.0,BFL&R17,False,2024-11-26 00:00:00,2024-12-02 00:00:00,3000,True,0.028,0.036,0.068
CAMP054,"MegaMart Black Friday Lifestyle & Recreation (Fitness, Toys, Travel) Deals",seasonal,High Spenders,"Lifestyle & Recreation (Fitness, Toys, Travel)",Email,Discount on Category,30.0,BFL&R30,False,2024-11-26 00:00:00,2024-12-02 00:00:00,15400,True,0.037,0.086,0.111
CAMP055,"MegaMart Black Friday Lifestyle & Recreation (Fitness, Toys, Travel) Deals",seasonal,Budget Shoppers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,29.0,BFL&R29,False,2024-11-26 00:00:00,2024-12-02 00:00:00,18800,False,0.047,0.087,0.151
CAMP056,MegaMart Black Friday Electronics & Appliances Sale,seasonal,New Customers,Electronics & Appliances,Push Notifications,Discount on Category,8.0,BFELEC8,False,2024-11-26 00:00:00,2024-12-02 00:00:00,17600,True,0.038,0.115,0.109
CAMP057,MegaMart Black Friday Electronics & Appliances Sale,seasonal,Active Customers,Electronics & Appliances,SMS,Discount on Category,16.0,BFELEC16,False,2024-11-26 00:00:00,2024-12-02 00:00:00,48200,True,0.14,0.162,0.384
CAMP058,MegaMart Black Friday Electronics & Appliances Sale,seasonal,Churn Risk Customers,Electronics & Appliances,SMS,Discount on Category,11.0,BFELEC11,False,2024-11-26 00:00:00,2024-12-02 00:00:00,17200,False,0.032,0.077,0.129
CAMP059,MegaMart Black Friday Electronics & Appliances Sale,seasonal,High Spenders,Electronics & Appliances,Push Notifications,Discount on Category,28.0,BFELEC28,False,2024-11-26 00:00:00,2024-12-02 00:00:00,49100,False,0.136,0.118,0.254
CAMP060,MegaMart Black Friday Electronics & Appliances Sale,seasonal,Budget Shoppers,Electronics & Appliances,SMS,Discount on Category,24.0,BFELEC24,False,2024-11-26 00:00:00,2024-12-02 00:00:00,21100,True,0.066,0.062,0.187
CAMP061,"MegaMart Black Friday Home & Living (Kitchenware, Storage, Bedding) Promotions",seasonal,New Customers,"Home & Living (Kitchenware, Storage, Bedding)",Push Notifications,Discount on Category,15.0,BFH&L15,False,2024-11-26 00:00:00,2024-12-02 00:00:00,26900,True,0.081,0.117,0.13
CAMP062,"MegaMart Black Friday Home & Living (Kitchenware, Storage, Bedding) Promotions",seasonal,Active Customers,"Home & Living (Kitchenware, Storage, Bedding)",Email,Discount on Category,26.0,BFH&L26,False,2024-11-26 00:00:00,2024-12-02 00:00:00,49500,True,0.157,0.201,0.223
CAMP063,"MegaMart Black Friday Home & Living (Kitchenware, Storage, Bedding) Promotions",seasonal,Churn Risk Customers,"Home & Living (Kitchenware, Storage, Bedding)",Push Notifications,Discount on Category,14.0,BFH&L14,False,2024-11-26 00:00:00,2024-12-02 00:00:00,19300,True,0.041,0.11,0.147
CAMP064,"MegaMart Black Friday Home & Living (Kitchenware, Storage, Bedding) Promotions",seasonal,High Spenders,"Home & Living (Kitchenware, Storage, Bedding)",Email,Discount on Category,19.0,BFH&L19,False,2024-11-26 00:00:00,2024-12-02 00:00:00,44800,True,0.07,0.16,0.341
CAMP065,"MegaMart Black Friday Home & Living (Kitchenware, Storage, Bedding) Promotions",seasonal,Budget Shoppers,"Home & Living (Kitchenware, Storage, Bedding)",Email,Discount on Category,26.0,BFH&L26,False,2024-11-26 00:00:00,2024-12-02 00:00:00,6100,True,0.028,0.052,0.081
CAMP066,MegaMart Black Friday Offer,seasonal,New Customers,,SMS,Free Shipping,,FREESHIPPING,True,2024-11-26 00:00:00,2024-12-02 00:00:00,15200,False,0.059,0.054,0.084
CAMP067,MegaMart Black Friday Sale,seasonal,Churn Risk Customers,,Push Notifications,Free Shipping,,FREESHIPPING,True,2024-11-26 00:00:00,2024-12-02 00:00:00,30300,True,0.068,0.137,0.14
CAMP068,MegaMart Black Friday Promotions,seasonal,Budget Shoppers,,Email,Free Shipping,,FREESHIPPING,True,2024-11-26 00:00:00,2024-12-02 00:00:00,16500,False,0.036,0.092,0.157
CAMP069,MegaMart Black Friday Promotions,seasonal,Active Customers,,Email,Discount on Cart,12.0,BFSAVE12,False,2024-11-26 00:00:00,2024-12-02 00:00:00,12000,True,0.05,0.075,0.102
CAMP070,MegaMart Black Friday Promotions,seasonal,High Spenders,,Push Notifications,Discount on Cart,9.0,BFSAVE9,False,2024-11-26 00:00:00,2024-12-02 00:00:00,31000,False,0.088,0.183,0.204
CAMP071,"MegaMart 1111 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,New Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,19.0,1111L&R19,False,2024-11-08 00:00:00,2024-11-14 00:00:00,17500,True,0.062,0.106,0.109
CAMP072,"MegaMart 1111 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Active Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,25.0,1111L&R25,False,2024-11-08 00:00:00,2024-11-14 00:00:00,16200,True,0.04,0.051,0.106
CAMP073,"MegaMart 1111 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Churn Risk Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Email,Discount on Category,22.0,1111L&R22,False,2024-11-08 00:00:00,2024-11-14 00:00:00,5800,True,0.025,0.041,0.082
CAMP074,"MegaMart 1111 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,High Spenders,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,18.0,1111L&R18,False,2024-11-08 00:00:00,2024-11-14 00:00:00,27200,False,0.058,0.108,0.113
CAMP075,"MegaMart 1111 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Budget Shoppers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,29.0,1111L&R29,False,2024-11-08 00:00:00,2024-11-14 00:00:00,38800,True,0.131,0.072,0.298
CAMP076,"MegaMart 1111 Home & Living (Kitchenware, Storage, Bedding) Sale",seasonal,New Customers,"Home & Living (Kitchenware, Storage, Bedding)",SMS,Discount on Category,16.0,1111H&L16,False,2024-11-08 00:00:00,2024-11-14 00:00:00,20100,True,0.068,0.119,0.186
CAMP077,"MegaMart 1111 Home & Living (Kitchenware, Storage, Bedding) Sale",seasonal,Active Customers,"Home & Living (Kitchenware, Storage, Bedding)",Push Notifications,Discount on Category,28.0,1111H&L28,False,2024-11-08 00:00:00,2024-11-14 00:00:00,36300,True,0.111,0.197,0.211
CAMP078,"MegaMart 1111 Home & Living (Kitchenware, Storage, Bedding) Sale",seasonal,Churn Risk Customers,"Home & Living (Kitchenware, Storage, Bedding)",Push Notifications,Discount on Category,5.0,1111H&L5,False,2024-11-08 00:00:00,2024-11-14 00:00:00,26000,True,0.057,0.127,0.155
CAMP079,"MegaMart 1111 Home & Living (Kitchenware, Storage, Bedding) Sale",seasonal,High Spenders,"Home & Living (Kitchenware, Storage, Bedding)",Email,Discount on Category,9.0,1111H&L9,False,2024-11-08 00:00:00,2024-11-14 00:00:00,41300,True,0.098,0.221,0.255
CAMP080,"MegaMart 1111 Home & Living (Kitchenware, Storage, Bedding) Sale",seasonal,Budget Shoppers,"Home & Living (Kitchenware, Storage, Bedding)",Email,Discount on Category,25.0,1111H&L25,False,2024-11-08 00:00:00,2024-11-14 00:00:00,28600,True,0.046,0.111,0.114
CAMP081,MegaMart 1111 Electronics & Appliances Promotions,seasonal,New Customers,Electronics & Appliances,Push Notifications,Discount on Category,15.0,1111ELEC15,False,2024-11-08 00:00:00,2024-11-14 00:00:00,22600,False,0.075,0.087,0.18
CAMP082,MegaMart 1111 Electronics & Appliances Promotions,seasonal,Active Customers,Electronics & Appliances,SMS,Discount on Category,7.0,1111ELEC7,False,2024-11-08 00:00:00,2024-11-14 00:00:00,31300,True,0.04,0.129,0.269
CAMP083,MegaMart 1111 Electronics & Appliances Promotions,seasonal,Churn Risk Customers,Electronics & Appliances,SMS,Discount on Category,7.0,1111ELEC7,False,2024-11-08 00:00:00,2024-11-14 00:00:00,43200,False,0.05,0.079,0.19
CAMP084,MegaMart 1111 Electronics & Appliances Promotions,seasonal,High Spenders,Electronics & Appliances,SMS,Discount on Category,9.0,1111ELEC9,False,2024-11-08 00:00:00,2024-11-14 00:00:00,16100,True,0.035,0.089,0.128
CAMP085,MegaMart 1111 Electronics & Appliances Promotions,seasonal,Budget Shoppers,Electronics & Appliances,Email,Discount on Category,13.0,1111ELEC13,False,2024-11-08 00:00:00,2024-11-14 00:00:00,24700,True,0.045,0.115,0.192
CAMP086,MegaMart 1111 Offer,seasonal,New Customers,,Push Notifications,Free Shipping,,FREESHIPPING,True,2024-11-08 00:00:00,2024-11-14 00:00:00,7600,False,0.035,0.066,0.087
CAMP087,MegaMart 1111 Promotions,seasonal,Churn Risk Customers,,SMS,Free Shipping,,FREESHIPPING,True,2024-11-08 00:00:00,2024-11-14 00:00:00,47400,True,0.071,0.19,0.342
CAMP088,MegaMart 1111 Offer,seasonal,Budget Shoppers,,Push Notifications,Free Shipping,,FREESHIPPING,True,2024-11-08 00:00:00,2024-11-14 00:00:00,45300,True,0.112,0.097,0.363
CAMP089,MegaMart 1111 Promotions,seasonal,Active Customers,,Push Notifications,Discount on Cart,26.0,1111SAVE26,False,2024-11-08 00:00:00,2024-11-14 00:00:00,24800,True,0.039,0.119,0.101
CAMP090,MegaMart 1111 Sale,seasonal,High Spenders,,SMS,Discount on Cart,18.0,1111SAVE18,False,2024-11-08 00:00:00,2024-11-14 00:00:00,24200,True,0.071,0.134,0.184
CAMP091,"MegaMart 1212 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,New Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,28.0,1212L&R28,False,2024-12-09 00:00:00,2024-12-15 00:00:00,39300,True,0.069,0.203,0.292
CAMP092,"MegaMart 1212 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Active Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,12.0,1212L&R12,False,2024-12-09 00:00:00,2024-12-15 00:00:00,49700,True,0.105,0.201,0.244
CAMP093,"MegaMart 1212 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Churn Risk Customers,"Lifestyle & Recreation (Fitness, Toys, Travel)",SMS,Discount on Category,10.0,1212L&R10,False,2024-12-09 00:00:00,2024-12-15 00:00:00,32500,False,0.056,0.166,0.17
CAMP094,"MegaMart 1212 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,High Spenders,"Lifestyle & Recreation (Fitness, Toys, Travel)",Push Notifications,Discount on Category,13.0,1212L&R13,False,2024-12-09 00:00:00,2024-12-15 00:00:00,36900,True,0.043,0.207,0.14
CAMP095,"MegaMart 1212 Lifestyle & Recreation (Fitness, Toys, Travel) Promotions",seasonal,Budget Shoppers,"Lifestyle & Recreation (Fitness, Toys, Travel)",Email,Discount on Category,22.0,1212L&R22,False,2024-12-09 00:00:00,2024-12-15 00:00:00,16200,True,0.057,0.088,0.122
CAMP096,"MegaMart 1212 Home & Living (Kitchenware, Storage, Bedding) Offer",seasonal,New Customers,"Home & Living (Kitchenware, Storage, Bedding)",SMS,Discount on Category,12.0,1212H&L12,False,2024-12-09 00:00:00,2024-12-15 00:00:00,27000,True,0.081,0.09,0.183
CAMP097,"MegaMart 1212 Home & Living (Kitchenware, Storage, Bedding) Offer",seasonal,Active Customers,"Home & Living (Kitchenware, Storage, Bedding)",Push Notifications,Discount on Category,16.0,1212H&L16,False,2024-12-09 00:00:00,2024-12-15 00:00:00,28400,True,0.105,0.121,0.157
CAMP098,"MegaMart 1212 Home & Living (Kitchenware, Storage, Bedding) Offer",seasonal,Churn Risk Customers,"Home & Living (Kitchenware, Storage, Bedding)",SMS,Discount on Category,13.0,1212H&L13,False,2024-12-09 00:00:00,2024-12-15 00:00:00,15600,True,0.034,0.058,0.091
CAMP099,"MegaMart 1212 Home & Living (Kitchenware, Storage, Bedding) Offer",seasonal,High Spenders,"Home & Living (Kitchenware, Storage, Bedding)",SMS,Discount on Category,10.0,1212H&L10,False,2024-12-09 00:00:00,2024-12-15 00:00:00,13100,False,0.035,0.068,0.124
CAMP100,"MegaMart 1212 Home & Living (Kitchenware, Storage, Bedding) Offer",seasonal,Budget Shoppers,"Home & Living (Kitchenware, Storage, Bedding)",Push Notifications,Discount on Category,24.0,1212H&L24,False,2024-12-09 00:00:00,2024-12-15 00:00:00,19000,True,0.076,0.112,0.116
CAMP101,MegaMart 1212 Electronics & Appliances Sale,seasonal,New Customers,Electronics & Appliances,Email,Discount on Category,27.0,1212ELEC27,False,2024-12-09 00:00:00,2024-12-15 00:00:00,35500,True,0.052,0.072,0.131
CAMP102,MegaMart 1212 Electronics & Appliances Sale,seasonal,Active Customers,Electronics & Appliances,Push Notifications,Discount on Category,25.0,1212ELEC25,False,2024-12-09 00:00:00,2024-12-15 00:00:00,49800,True,0.109,0.254,0.293
CAMP103,MegaMart 1212 Electronics & Appliances Sale,seasonal,Churn Risk Customers,Electronics & Appliances,Email,Discount on Category,15.0,1212ELEC15,False,2024-12-09 00:00:00,2024-12-15 00:00:00,12600,True,0.057,0.055,0.129
CAMP104,MegaMart 1212 Electronics & Appliances Sale,seasonal,High Spenders,Electronics & Appliances,SMS,Discount on Category,17.0,1212ELEC17,False,2024-12-09 00:00:00,2024-12-15 00:00:00,32700,True,0.045,0.145,0.124
CAMP105,MegaMart 1212 Electronics & Appliances Sale,seasonal,Budget Shoppers,Electronics & Appliances,SMS,Discount on Category,14.0,1212ELEC14,False,2024-12-09 00:00:00,2024-12-15 00:00:00,6100,True,0.038,0.039,0.086
CAMP106,MegaMart 1212 Deals,seasonal,New Customers,,Push Notifications,Free Shipping,,FREESHIPPING,True,2024-12-09 00:00:00,2024-12-15 00:00:00,34700,True,0.072,0.191,0.171
CAMP107,MegaMart 1212 Offer,seasonal,Churn Risk Customers,,Email,Free Shipping,,FREESHIPPING,True,2024-12-09 00:00:00,2024-12-15 00:00:00,37800,False,0.099,0.16,0.265
CAMP108,MegaMart 1212 Deals,seasonal,Budget Shoppers,,Email,Free Shipping,,FREESHIPPING,True,2024-12-09 00:00:00,2024-12-15 00:00:00,17800,True,0.059,0.059,0.101
CAMP109,MegaMart 1212 Promotions,seasonal,Active Customers,,SMS,Discount on Cart,19.0,1212SAVE19,False,2024-12-09 00:00:00,2024-12-15 00:00:00,45700,True,0.113,0.129,0.194
CAMP110,MegaMart 1212 Promotions,seasonal,High Spenders,,Email,Discount on Cart,7.0,1212SAVE7,False,2024-12-09 00:00:00,2024-12-15 00:00:00,45500,True,0.073,0.124,0.321
CAMP111,MegaMart Canned Goods Deals,category,Budget Shoppers,Canned Goods,Push Notifications,Discount on Category,9.0,ALL9,False,2025-08-15,2025-08-22,5200,True,0.033,0.048,0.082
CAMP112,MegaMart Health & Beauty Offer,category,Budget Shoppers,Health & Beauty,SMS,Discount on Category,13.0,ALL13,False,2025-01-21,2025-01-28,33300,True,0.075,0.143,0.265
